"myBean1","nitrogenF","mushroomF"
170.2,"0","0"
178.7,"0","0"
152.8,"0","0"
149.2,"0","0"
175,"0","0"
183.6,"0","0"
167.5,"0","0"
183.4,"0","0"
159.2,"0","0"
161.1,"0","0"
154.7,"0","0"
194.3,"0","0"
166.3,"0","0"
156.4,"0","0"
158.5,"0","0"
134.9,"0","0"
170.8,"0","0"
166.9,"0","0"
195.1,"0","0"
187.1,"0","0"
163.4,"0","0"
183.2,"0","0"
163.3,"0","0"
153.7,"0","0"
166.9,"0","0"
135.1,"0","0"
105,"1","0"
118.8,"1","0"
124.5,"1","0"
119.4,"1","0"
109.3,"1","0"
106.9,"1","0"
91.6,"1","0"
106.8,"1","0"
91.7,"1","0"
113.6,"1","0"
82.9,"1","0"
63.2,"1","0"
63.3,"1","0"
100.2,"1","0"
62.1,"1","0"
88.4,"1","0"
77.8,"1","0"
82.3,"1","0"
92,"1","0"
91.6,"1","0"
141.2,"1","0"
90.9,"1","0"
106.8,"1","0"
107.5,"1","0"
321.3,"0","1"
341.1,"0","1"
317.3,"0","1"
278.2,"0","1"
274.7,"0","1"
294.3,"0","1"
324,"0","1"
298.1,"0","1"
320.1,"0","1"
314.1,"0","1"
305.7,"0","1"
318.6,"0","1"
346.6,"0","1"
308.5,"0","1"
241.7,"0","1"
320.6,"0","1"
358.2,"0","1"
321.4,"0","1"
291.9,"0","1"
330.2,"0","1"
323.5,"0","1"
327.1,"0","1"
167.8,"1","1"
195.5,"1","1"
179.9,"1","1"
195.6,"1","1"
136.5,"1","1"
184.4,"1","1"
182.4,"1","1"
183.4,"1","1"
166.5,"1","1"
185.3,"1","1"
153.1,"1","1"
177.4,"1","1"
184.7,"1","1"
210.1,"1","1"
192.3,"1","1"
159.8,"1","1"
188.3,"1","1"
195.7,"1","1"
132.4,"1","1"
177.5,"1","1"
193.9,"1","1"
126.1,"1","1"
167.8,"1","1"
182.8,"1","1"
126.1,"1","1"
